model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid_1_AutoML_1_20250814_221122_model_2,0.7816091954022988,0.4784693712064599,0.8583544068921403,0.2740398093636109,0.387781038930143,0.1503741341537411
GBM_1_AutoML_1_20250814_221122,0.7799271096159237,0.5505016026164,0.887660863521289,0.3278665545276142,0.4290974002316994,0.1841245788856032
GBM_grid_1_AutoML_1_20250814_221122_model_44,0.7793664143537987,0.467680763466968,0.8422464944554655,0.2926829268292683,0.3881683184099474,0.1506746434172063
GBM_grid_1_AutoML_1_20250814_221122_model_2,0.7790860667227362,0.4576561931231858,0.8409467957397538,0.2560975609756097,0.3783728513716373,0.1431660146551031
GBM_grid_1_AutoML_1_20250814_221122_model_42,0.776843285674236,0.456160292445376,0.8272118704274138,0.2560975609756097,0.3766602277129298,0.1418729271407561
GBM_grid_1_AutoML_1_20250814_221122_model_51,0.776282590412111,0.457730741934843,0.8394141524848682,0.2560975609756097,0.3764912947702305,0.1417456950377646
GBM_grid_1_AutoML_1_20250814_221122_model_27,0.7755817213344548,0.5585909199846537,0.8825795168213602,0.3149705634987385,0.4326278558332933,0.1871668616429127
GBM_grid_1_AutoML_1_20250814_221122_model_46,0.7744603308102046,0.5561827111495811,0.8801077987673352,0.3149705634987385,0.4317096186872268,0.1863731948670707
GLM_1_AutoML_1_20250814_221122,0.7740398093636108,0.4505898155256755,0.8515314445653182,0.2560975609756097,0.3770658254476047,0.1421786367204834
GBM_grid_1_AutoML_1_20250814_221122_model_7,0.7731987664704233,0.5586053685246584,0.8768023402748646,0.3149705634987385,0.432786666101804,0.1873042983555144
GBM_grid_1_AutoML_1_20250814_221122_model_33,0.7717970283151107,0.5318948073902698,0.8501182745250829,0.2912811886739557,0.4175490550762478,0.1743472133950674
GBM_4_AutoML_1_20250814_221122,0.7715166806840482,0.466333204175545,0.8517150679260199,0.2560975609756097,0.3837305447001153,0.1472491309358471
GBM_grid_1_AutoML_1_20250814_221122_model_50,0.7710961592374544,0.5582004703931006,0.8814682294624173,0.3020745724698626,0.433560142892275,0.18797439750477
GBM_grid_1_AutoML_1_20250814_221122_model_6,0.7689935520044855,0.5566146070518597,0.8757953046612267,0.3214185590131763,0.4319504321394395,0.1865811758254485
GBM_grid_1_AutoML_1_20250814_221122_model_40,0.768713204373423,0.4704411957032952,0.8355550602615713,0.2560975609756097,0.3832475467209962,0.1468786820676621
GBM_5_AutoML_1_20250814_221122,0.7642276422764227,0.4888140201771588,0.809849420193781,0.2862349313148304,0.3948797824400292,0.1559300425798848
GBM_grid_1_AutoML_1_20250814_221122_model_52,0.7636669470142977,0.4759917768525025,0.8431180796215063,0.2560975609756097,0.3865375976047622,0.1494113143620611
GBM_grid_1_AutoML_1_20250814_221122_model_37,0.7636669470142977,0.5327407729123916,0.8394893653350518,0.2675918138491729,0.4116357971128155,0.169444029464703
GBM_grid_1_AutoML_1_20250814_221122_model_49,0.7502102607232969,0.4853655731777919,0.820591993278028,0.2560975609756097,0.3904213895461811,0.1524288614151709
DeepLearning_grid_1_AutoML_1_20250814_221122_model_3,0.7499299130922343,0.5543417215763954,0.8000593334157812,0.2682926829268293,0.3922279505551384,0.1538427651966841
DeepLearning_grid_1_AutoML_1_20250814_221122_model_9,0.744322960470984,0.5186153733472089,0.7908168776549525,0.2682926829268293,0.3945003163985118,0.1556304996385259
GBM_grid_1_AutoML_1_20250814_221122_model_36,0.7409587888982339,0.4704841959849561,0.8357052018092546,0.2560975609756097,0.3854796517448191,0.1485945619093069
GBM_grid_1_AutoML_1_20250814_221122_model_29,0.7329688814129521,0.5938038985092333,0.8564594289801426,0.3400616764788338,0.4509278494645305,0.2033359254227063
DeepLearning_grid_1_AutoML_1_20250814_221122_model_1,0.7317073170731707,0.8036551052624489,0.8383570092701332,0.3637510513036165,0.4559543754734316,0.207894392513367
DeepLearning_grid_3_AutoML_1_20250814_221122_model_1,0.712363330529857,1.457693205208066,0.8001065373115201,0.4074852817493692,0.4977979622776578,0.2478028112477884
DeepLearning_grid_2_AutoML_1_20250814_221122_model_1,0.7078777684328568,0.9420636261821425,0.7935834249703027,0.34076254555649,0.4843560684608869,0.2346008010548874
GBM_grid_1_AutoML_1_20250814_221122_model_30,0.7075974208017942,0.5504947530644494,0.8042418975557344,0.3228202971684889,0.424386078819354,0.1801035438956669
DeepLearning_grid_1_AutoML_1_20250814_221122_model_4,0.7025511634426689,1.062132202913599,0.8222960965218497,0.3472105410709279,0.4942541969003478,0.2442872111536077
